utt,point,etype,level,lsd_mean,lsd_median,lsd_p90,lsd_frames,nmr_median,nmr_p90,segsnr_mean,segsnr_median,crest_delta_median,crest_delta_p90,estoi_orig
ve9qrp_10s,coslsp,framemod,0.0001,0.041041,0.029555,0.069788,981,-53.576,-45.79,34.925,35,-9.4449e-05,0.012394,0.56199
ve9qrp_10s,coslsp,framemod,0.0004,0.15985,0.11733,0.28093,981,-41.559,-33.74,32.698,35,-0.00060985,0.048759,0.56133
ve9qrp_10s,coslsp,framemod,0.0016,0.61265,0.47521,1.1295,981,-29.533,-21.525,23.376,24.046,-0.0023997,0.18822,0.55694
ve9qrp_10s,coslsp,framemod,0.0064,2.2653,1.8278,4.0115,981,-17.282,-8.6369,11.072,11.941,-0.012409,0.75373,0.51931
ve9qrp_10s,coslsp,framemod,0.0256,8.1757,5.7321,17.076,981,-5.9164,19.695,-0.29751,1.4879,-0.42956,2.0775,0.2744
ve9qrp_10s,coslsp,framemod,0.1024,30.215,31.193,42.489,981,33.375,45.11,-9.6947,-10,-10.237,-0.76208,0.1386
ve9qrp_10s,coslsp,dc,0.0001,0.020763,0.016191,0.035917,981,-55.228,-48.938,34.988,35,0.00045581,0.0086188,0.56226
ve9qrp_10s,coslsp,dc,0.0004,0.083216,0.065011,0.14429,981,-43.125,-36.818,33.544,35,0.0015297,0.033953,0.56256
ve9qrp_10s,coslsp,dc,0.0016,0.33411,0.26647,0.58287,981,-30.866,-24.645,24.001,24.551,0.0014747,0.13704,0.56361
ve9qrp_10s,coslsp,dc,0.0064,1.3961,1.1573,2.5035,981,-18.111,-11.975,11.529,12.011,-0.055515,0.48515,0.56388
ve9qrp_10s,coslsp,dc,0.0256,10.459,6.7798,28.889,981,-3.9491,-0.24946,-1.5112,-1.2896,-2.7962,0.95659,0.46147
ve9qrp_10s,coslsp,dc,0.1024,22.596,17.559,40.942,981,-0.13908,8.127,-7.7822,-10,-8.0695,-3.2904,0.15081
ve9qrp_10s,coslsp,worst,0.0001,0.020486,0.014365,0.037012,981,-56.016,-48.659,35,35,-0.0018999,0.0068112,0.56206
ve9qrp_10s,coslsp,worst,0.0004,0.08283,0.057598,0.14731,981,-44.001,-36.58,33.773,35,-0.0078536,0.026892,0.5617
ve9qrp_10s,coslsp,worst,0.0016,0.33708,0.22921,0.60188,981,-31.938,-24.171,24.731,25.206,-0.038536,0.10405,0.55957
ve9qrp_10s,coslsp,worst,0.0064,1.4957,0.89795,2.9652,981,-19.948,-10.703,12.33,13.237,-0.21188,0.35286,0.54182
ve9qrp_10s,coslsp,worst,0.0256,5.0249,3.9657,9.0465,981,-6.8779,2.9598,0.40901,1.5357,-2.0931,0.70843,0.47601
ve9qrp_10s,coslsp,worst,0.1024,14.305,13.908,18.903,981,16.107,29.062,-9.4272,-10,-5.2389,-1.2776,0.34773
ve9qrp_10s,state,white,0.25,0.0053772,0.0018511,0.012077,981,-80.88,-65.974,35,35,3.4963e-06,0.00047475,0.56216
ve9qrp_10s,state,white,1,0.021706,0.0074143,0.048464,981,-68.838,-53.928,35,35,1.3157e-05,0.0018945,0.56216
ve9qrp_10s,state,white,4,0.083006,0.02979,0.1964,981,-56.796,-41.868,34.76,35,5.6005e-05,0.0076433,0.56214
ve9qrp_10s,state,white,16,0.30505,0.11893,0.79152,981,-44.753,-29.807,33.402,35,0.00031881,0.030842,0.56209
